HolderAddress,Balance
0x4Ad3973d882C17D76EE4332e992556ea0d3C6063,7
0xb9650eD832EC4ae64A83bEe171Edfcb4cF1265AC,5
0xb76E26b7Aed665B0bD6F1c3C3c8b9454fa4A0349,4
0x81373A6c308364cd57657cA868c1048F0608BeA8,4
0x02DD95957665420547af76e9b040385d4CC88D41,4
0xFDF4150bf6d4a883FA8f8545c1A143efCe06871d,3
0xE201d2088ad3e80437820A7AbC30701De042C754,2
0xC9BA65630711B30c5F8e05be1e51c822ACD96208,2
0xbB0fFCF24DB6139888f9F8Ee4D4fb90b8F110484,2
0xB656C8A23c6E1F0866380ba8d54b6624116BbbAA,2
0xB55de25DfF4D3C86343fec197Fc7BE6509b6a795,2
0xab30Af8577D30ec0ed366Cf418F14bFd597Ad754,2
0x6c08936f15e3C075bC861E7320A31db3d73fA49B,2
0x59a9ceb318FE7392C3c3E35a2F37DEaD86b231a5,2
0x37B96F95bfcceADef535dca85ecC9241C432Bae8,2
0x1C086e074AAd1e2880F678d1307039EE0dAF8B38,2
0x16dFd999eD1134198857fA36901Ea0a1eFeD1BBA,2
0x1415F451Bf7FBdAe95182d89Ebe7B0c7793A1a22,2
0xfffd5391f2C363f06C793e1a92EC965089a09d26,1
0xFf0b80B9347E5C7c320F8327771B2ab9CDC66851,1
0xfC7d086242A446ca802249c34058ba2eFf3E6b0C,1
0xfAB2039ed13c5a7C7041D0d5FAcAfb456FFBcdfE,1
0xF5289fa4cC7f8894EE094e244079D83f0EaB24E6,1
0xf171967DfD0f8186799bD3c4f5E54b222c4B7018,1
0xdd97a335b18baf5f48D46c03dd08b8C0363FE189,1
0xDD22a9Ef6DdccE1FD25782e12f6170AeACa43B93,1
0xDA85BC2bAc8E2A2E082FebC72fd6c7bC8D0962CD,1
0xD12632b2A051c20E7aBB5a52A4dA1A8607E6ede3,1
0xc2FF168316462dc5FA6493b88223aEbeC1d68469,1
0xc23b2468C5686930D3400ee69181dA4FBC1628b2,1
0xbf1605F99e7D2E706702994b96c0513bD154d1C7,1
0xb5107Da4De72d75Cb09fEF0c0a86fc67413c3dF0,1
0xB4bF97Fbcc62a6C92A47039995604506B990EfCE,1
0xAbF9ffdB1CC9728fFf1B783C1322Cd71dc382aB8,1
0xA5405520CD4Aa010f4bdfe357070028ba19F1eB7,1
0x9919504d448122bb7bE5856bCbc7cc8ceB304669,1
0x9739515d64D7e723647BA97Fb6a86e25aaDfbC9a,1
0x925C9F2cd5FA16b384271DA78d43B0848bE2adD8,1
0x918DcD63B0e008d5c90cba7D7E4AfA4562841cB7,1
0x8BBE8Fe4DDA236f8D6d537Cfa26ad8cFC905BEC7,1
0x86FC8FD4865c5C482897c724580D3fAe23DEC0C5,1
0x843aDd61df2926896eB3Dd14031AC83Ef898628B,1
0x82F11E2Ca38BF25992874aa812b61555c8313D3e,1
0x7EF3d6C4c5BD113c2fb33d87b57AffDfDA226B11,1
0x7DDC0De23c3859E980a27c55a10ec1aD1af7C2dc,1
0x7c09F51D198306bAcb4aa5CCfd2aD693B11Cf485,1
0x7658D6760913648782331e3dE8AD1c030654FF00,1
0x6feCC980B91843595AEd8E28941675F71b286EA4,1
0x62b171524E5B9f3ca62d1b436FCE48410295cE47,1
0x60c57B268482E0dAA40C12AF377635B07c27C296,1
0x555b9Ce0430895f2aA8722Da56B9a462fEbA1BC1,1
0x54a01f987fCeD5489BAc3Abc8EEeAeddEDD3E1E5,1
0x51274256D57D8023bbca7Dc3a419AAF87fDBDb86,1
0x489BF60a8a0d3884286816d9D1e9BC266064d5FB,1
0x4524D8B80b5fd30cadB864eeA69ba959B80FE07a,1
0x44e156CBb4506cee55A96b45D10A77806E012469,1
0x44BF9f637D66123Ffd2c96aEDBF80f95b68255E8,1
0x420e5dFe232BB7c069aa5E9033559568481Be8DE,1
0x3e9B7be1449FE3ce1dEEeB298cFd2d866bF13c43,1
0x39B3A747b022BBceD412B06063acEd934Cbe07f9,1
0x349DC9ED2a4123d06b974226542Fa8434c7Ab950,1
0x2E2a4b1c4f36Ff799D56a92E1CF2E124B8d7ECF9,1
0x2A6313dE8E9048E40a703c5E4869030A5c93979D,1
0x227890ca78F7e16d37192Ef9a1d96b2f5DD604D3,1
0x18e1b6BdA75bF3Dd7b28df27452E7B9e1a66778D,1
0x16d95DfabB63F6bc098c3bc29663aC476703F128,1
0x130805f7214FA21b1AbAee76728Ad896434BE7c3,1
0x1025262f5a6764d73047a0a0B20Ab6DF3bF4EFD2,1
0x0D53B9C590663353f8b7110AE538Fa4182A3e183,1
0x0CFBcecC4DA0a67c667dfa295d14Cd501158689f,1
0x07418A175D26189bea5EdCF93E45D6c6425fD55a,1
0x001385D449705e8fBc2039F07054881375363DD4,1
